propogator,a1,a2,a3,a4,a5,a6,a7,a8,b1,b2,b3,b4,b5,b6,b7,b8,c1,c2,c3,c4,c5,c6,c7,c8
prop_BT,0.00034327799221500754,0.0009827419999055564,0.00015618203906342387,0.00204351800493896,0.001014993991702795,0.016728670976590365,0.007039805990643799,0.9232856399612501
prop_FC,0.0002981489524245262,0.000758328998927027,0.00036430300679057837,0.0010978709906339645,0.0006846209871582687,0.0014622610178776085,0.0009012639638967812,0.023608866962604225,0.0025670420145615935,0.002208671998232603,0.004163906967733055,0.006316487968433648,0.0036086069885641336,0.0023450449807569385,0.0038831429556012154,0.0027215899899601936,17.299923835031223,0.45232308498816565,6.314319149008952,14.144023058004677,0.11239083600230515,171.42501032399014,2.8787332090432756,4.86892253998667
prop_GAC,0.00041016796603798866,0.0008248799713328481,0.0007690410129725933,0.0014295050059445202,0.0011893349583260715,0.0019222550326958299,0.001688996038865298,0.020398819993715733,0.003302422002889216,0.0029088479932397604,0.003866209997795522,0.009099637973122299,0.004238719993736595,0.0034391909721307456,0.009044218983035535,0.0038839979679323733,22.99325228499947,0.5406426139525138,7.636755951039959,17.808874604001176,0.16425363096641377,225.7851105350419,3.3137749440502375,6.222597441985272
